Num_CIN Choix1 Choix2 Choix3
000001 E503 E205 E402
000002 E205 E503 E402
000003 E503 E402 E301
000004 E205 E503 E301
000005 E301 E402 E205
000006 E402 E503 E301
000007 E503 E101 E205
000008 E101 E301 E205
000009 E101 E503 E301
000010 E205 E402 E101
000011 E205 E503 E101
000012 E402 E101 E503
000013 E402 E101 E301
000014 E101 E301 E402
000015 E402 E205 E503
000016 E402 E205 E503
000017 E205 E301 E101
000018 E101 E402 E205
000019 E503 E205 E301
000020 E301 E503 E101
000021 E503 E101 E205
000022 E402 E205 E503
000023 E101 E205 E301
000024 E402 E301 E101
000025 E503 E301 E101
000026 E205 E402 E301
000027 E101 E402 E205
000028 E301 E402 E503
000029 E402 E301 E503
000030 E101 E205 E402
000031 E101 E205 E301
000032 E205 E101 E503
000033 E101 E205 E402
000034 E205 E101 E402
000035 E101 E503 E301
000036 E301 E205 E402
000037 E402 E205 E301
000038 E402 E205 E503
000039 E101 E301 E402
000040 E205 E301 E503
000041 E301 E402 E101
000042 E205 E301 E503
000043 E301 E205 E402
000044 E301 E101 E402
000045 E205 E101 E301
000046 E301 E402 E205
000047 E402 E503 E205
000048 E301 E402 E101
000049 E101 E205 E503
000050 E402 E301 E205
000051 E503 E301 E101
000052 E205 E503 E101
000053 E402 E205 E503
000054 E301 E205 E503
000055 E205 E101 E503
000056 E101 E503 E205
000057 E301 E205 E402
000058 E301 E503 E205
000059 E503 E402 E101
000060 E301 E503 E402
000061 E503 E205 E101
000062 E205 E301 E101
000063 E503 E402 E301
000064 E205 E402 E101
000065 E503 E101 E402
000066 E503 E301 E205
000067 E101 E205 E301
000068 E503 E301 E402
000069 E402 E503 E101
000070 E301 E402 E101
000071 E503 E301 E402
000072 E205 E301 E101
000073 E503 E301 E205
000074 E205 E301 E503
000075 E503 E205 E101
000076 E402 E301 E101
000077 E402 E205 E503
000078 E503 E402 E205
000079 E301 E101 E402
000080 E402 E101 E503
000081 E402 E205 E101
000082 E402 E101 E301
000083 E402 E503 E301
000084 E402 E101 E301
000085 E503 E205 E402
000086 E301 E402 E101
000087 E402 E301 E101
000088 E101 E301 E205
000089 E101 E205 E301
000090 E402 E205 E101
000091 E205 E301 E503
000092 E101 E402 E301
000093 E301 E503 E205
000094 E301 E503 E402
000095 E503 E301 E101
000096 E503 E402 E101
000097 E402 E503 E101
000098 E503 E301 E402
000099 E402 E503 E101
000100 E503 E402 E101
000101 E503 E301 E205
000102 E101 E205 E301
000103 E101 E205 E503
000104 E101 E205 E301
000105 E503 E402 E101
000106 E101 E301 E402
000107 E101 E402 E205
000108 E402 E205 E503
000109 E301 E205 E101
000110 E205 E101 E301
000111 E205 E503 E301
000112 E101 E402 E301
000113 E101 E402 E301
000114 E205 E503 E301
000115 E402 E503 E301
000116 E101 E301 E402
000117 E402 E205 E101
000118 E205 E301 E402
000119 E101 E205 E503
000120 E101 E205 E402
000121 E205 E503 E101
000122 E101 E301 E503
000123 E503 E301 E101
000124 E402 E205 E101
000125 E503 E205 E101
000126 E402 E301 E101
000127 E503 E301 E205
000128 E101 E503 E402
000129 E402 E503 E301
000130 E301 E402 E101
000131 E101 E503 E402
000132 E503 E301 E205
000133 E503 E301 E205
000134 E101 E402 E503
000135 E101 E205 E503
000136 E205 E503 E301
000137 E205 E503 E301
000138 E101 E402 E301
000139 E503 E205 E101
000140 E402 E205 E503
000141 E205 E503 E301
000142 E205 E402 E301
000143 E402 E101 E503
