Num_CIN Analyse Algèbre Physique Chimie Informatique STA Français Anglais
000001 14.54 2.49 16.04 9.12 5.62 13.0 9.53 13.46
000002 9.79 18.56 8.3 12.29 13.41 8.9 8.72 10.29
000003 1.98 19.72 0.45 13.77 14.35 17.94 19.94 5.28
000004 13.74 4.36 8.6 15.43 17.04 18.07 17.66 13.17
000005 10.46 15.35 11.57 6.48 17.47 16.55 16.87 13.11
000006 19.97 12.52 8.75 15.7 15.46 3.37 12.37 3.26
000007 16.51 17.14 13.3 18.93 6.12 9.99 15.23 16.05
000008 19.23 17.47 8.92 18.99 9.74 4.19 7.31 15.44
000009 8.57 2.24 8.43 16.32 16.16 3.15 15.62 16.62
000010 13.13 17.98 12.47 9.58 2.6 13.55 16.69 16.87
000011 11.07 3.66 17.3 17.29 1.24 0.58 9.43 15.28
000012 10.91 10.08 14.05 10.65 10.14 12.53 16.83 6.58
000013 17.36 15.48 9.16 14.7 9.56 9.1 7.81 9.8
000014 8.68 15.42 8.63 14.64 7.61 3.08 11.67 11.27
000015 17.7 16.02 14.29 15.8 12.06 8.88 9.79 17.98
000016 11.6 10.13 9.05 17.5 19.57 13.1 11.75 11.66
000017 12.23 10.78 15.26 10.76 12.09 8.71 8.01 14.09
000018 10.19 10.41 15.19 12.7 16.01 12.28 6.03 16.28
000019 16.52 16.9 4.14 17.99 17.65 13.38 9.27 7.89
000020 14.63 8.61 13.06 15.15 8.54 8.4 14.8 16.79
000021 11.63 16.79 0.67 16.87 16.61 16.59 14.91 14.76
000022 14.35 13.25 8.39 16.16 10.64 8.66 11.37 8.35
000023 14.13 15.02 14.05 10.23 9.25 17.3 9.38 13.33
000024 16.11 11.6 8.99 11.24 12.62 10.05 17.09 17.61
000025 11.46 8.65 13.55 16.67 16.02 3.89 15.81 16.42
000026 10.91 0.95 14.56 8.74 6.83 12.32 13.49 13.64
000027 8.07 13.45 13.89 16.71 17.04 13.91 12.17 12.79
000028 14.68 8.51 13.66 16.16 17.32 13.14 13.54 10.09
000029 13.97 17.61 17.64 10.12 11.08 1.02 12.63 15.02
000030 12.23 15.57 11.74 14.41 8.05 11.93 4.1 9.51
000031 11.02 13.82 14.12 8.06 4.26 12.47 14.62 12.61
000032 12.0 17.03 16.64 2.95 13.86 14.48 7.54 1.11
000033 11.93 14.73 3.19 16.36 14.02 5.08 9.12 17.61
000034 15.21 15.5 6.68 6.04 3.22 14.96 12.56 15.01
000035 16.91 13.44 11.18 9.6 14.64 13.86 13.91 7.22
000036 15.16 15.29 17.13 12.52 12.16 14.85 17.5 14.18
000037 13.68 1.57 15.11 15.69 13.31 13.73 9.71 18.68
000038 10.63 8.23 17.83 0.14 16.17 9.08 17.93 9.86
000039 4.71 10.7 9.09 13.87 11.22 14.22 17.67 18.7
000040 18.74 9.11 10.88 15.11 8.09 16.66 17.17 15.73
000041 5.11 9.0 2.4 14.17 14.14 18.25 1.15 8.29
000042 8.98 14.44 14.71 8.49 14.7 9.82 16.7 9.65
000043 15.75 11.92 10.49 9.54 8.76 17.21 17.12 7.41
000044 12.1 10.75 3.05 3.4 9.95 10.23 8.95 11.79
000045 17.67 11.04 9.57 9.71 10.72 1.72 15.79 10.64
000046 2.37 10.4 17.69 5.85 13.76 12.13 13.99 13.36
000047 6.63 12.66 14.6 15.21 0.26 15.25 3.61 16.14
000048 10.34 16.58 18.33 3.61 11.65 8.56 13.32 9.68
000049 13.25 9.5 14.32 12.3 17.63 9.7 12.08 8.87
000050 12.41 15.76 9.53 17.44 8.27 18.0 15.64 9.16
000051 17.7 9.09 12.46 15.95 12.62 15.04 12.46 10.73
000052 17.36 15.1 11.42 12.83 0.49 13.31 5.28 12.33
000053 8.91 17.9 9.16 17.75 5.85 14.61 19.48 9.29
000054 15.0 15.29 11.27 1.35 4.04 8.8 17.89 17.22
000055 9.05 17.33 13.17 14.74 16.25 16.85 5.6 13.87
000056 10.24 12.45 8.36 18.44 12.96 8.08 16.67 10.22
000057 12.81 13.9 8.89 17.48 14.84 17.12 14.29 13.57
000058 3.79 17.6 16.9 10.64 8.37 17.17 13.05 14.59
000059 9.34 16.01 15.06 10.42 10.18 11.76 11.1 11.87
000060 8.85 11.13 14.16 15.17 2.27 9.37 13.38 8.75
000061 9.16 13.56 16.22 13.04 10.48 17.07 8.81 15.68
000062 14.2 12.44 12.4 14.01 17.85 16.81 6.96 16.56
000063 14.74 16.07 9.44 8.88 15.52 17.62 10.53 15.64
000064 4.85 17.63 10.29 8.9 9.92 3.46 11.51 15.25
000065 16.19 10.2 12.4 0.45 8.16 14.61 17.83 12.7
000066 14.25 0.96 15.16 17.58 16.63 11.84 0.82 15.7
000067 17.95 11.83 16.78 10.36 13.46 17.98 11.94 0.78
000068 11.53 7.42 12.95 10.14 12.41 9.21 7.53 17.73
000069 16.83 11.41 14.55 13.45 12.51 16.85 16.41 14.14
000070 7.52 8.55 11.67 9.71 14.24 4.79 3.72 19.1
000071 9.89 11.0 9.42 8.22 3.76 4.1 19.28 12.82
000072 4.59 12.42 12.16 15.57 12.6 17.66 12.86 15.45
000073 10.23 15.56 15.83 9.83 13.63 10.99 8.16 12.21
000074 6.98 10.58 14.18 8.27 17.14 15.9 13.09 13.32
000075 0.58 14.17 8.79 10.33 10.6 13.27 8.67 12.33
000076 8.62 15.61 12.77 0.56 0.91 13.96 13.01 9.39
000077 10.0 3.61 15.14 10.22 10.46 13.55 8.93 6.36
000078 10.04 9.79 13.31 17.16 14.96 15.67 9.91 11.29
000079 9.84 8.83 17.58 13.27 14.68 15.36 14.26 17.95
000080 10.92 11.76 15.57 15.86 13.39 12.04 15.57 15.91
000081 5.28 12.37 14.27 15.35 11.22 17.21 17.4 17.78
000082 14.99 14.34 14.73 5.27 12.39 18.65 15.28 14.14
000083 8.24 10.37 14.91 15.03 11.42 12.78 8.21 8.85
000084 16.51 18.71 9.36 13.28 15.62 10.34 3.27 11.77
000085 17.07 8.96 17.39 16.89 14.16 17.39 15.39 1.36
000086 14.9 16.72 9.92 8.09 12.71 14.21 9.52 14.43
000087 9.02 14.09 9.0 19.31 15.9 8.75 10.34 10.76
000088 15.62 12.74 11.85 19.42 12.92 14.87 8.74 14.18
000089 8.36 12.05 14.85 13.82 9.05 16.98 8.71 0.7
000090 13.82 15.95 14.04 16.01 16.68 8.92 14.83 11.86
000091 8.93 2.18 17.64 15.2 7.04 16.38 10.34 14.67
000092 15.71 10.53 17.81 16.18 12.49 17.3 17.0 10.17
000093 16.44 10.24 15.85 13.19 8.39 16.44 16.58 13.49
000094 15.52 14.3 8.79 10.1 9.91 16.87 12.08 9.86
000095 16.19 4.33 13.45 12.54 10.73 16.38 6.14 8.17
000096 11.07 15.67 19.48 18.25 17.47 6.46 11.14 12.12
000097 10.11 10.24 15.52 8.96 10.2 5.31 10.95 10.11
000098 10.56 11.63 10.38 11.88 15.41 14.26 13.03 13.23
000099 11.79 6.81 4.57 13.63 8.29 12.36 14.21 16.09
000100 2.45 9.51 0.63 10.03 12.51 14.06 10.69 8.06
000101 3.84 9.89 17.71 13.72 9.51 17.42 15.39 12.86
000102 12.86 14.05 8.39 10.17 9.21 12.31 12.21 15.95
000103 8.16 17.48 12.11 9.48 16.03 12.93 17.42 9.5
000104 15.21 17.92 10.1 13.16 13.77 13.13 8.87 8.86
000105 12.62 9.62 15.77 11.13 0.26 0.59 14.04 9.4
000106 6.59 13.97 9.69 15.53 14.7 15.78 16.7 15.32
000107 9.74 13.12 1.74 11.47 13.01 10.65 15.77 3.97
000108 9.8 10.94 12.04 10.8 8.63 8.27 15.98 10.54
000109 15.57 17.34 15.35 0.11 15.43 18.45 9.2 16.81
000110 15.36 15.33 9.56 16.82 15.66 10.84 8.38 12.29
000111 14.27 14.07 17.21 17.21 17.89 17.45 10.27 19.45
000112 1.38 11.72 9.11 5.72 15.28 16.12 14.72 16.01
000113 6.58 18.11 16.04 14.58 10.96 10.78 6.72 13.85
000114 8.79 8.75 8.48 16.67 12.47 9.75 3.15 12.66
000115 12.87 13.9 13.83 17.34 13.18 15.39 12.33 13.68
000116 13.13 2.19 13.93 10.96 13.75 4.65 10.74 11.39
000117 14.8 5.37 16.11 11.18 8.07 1.48 1.41 15.95
000118 0.38 16.7 11.76 16.02 3.96 17.34 14.13 9.39
000119 15.64 11.92 15.11 14.2 17.63 11.77 13.64 17.69
000120 10.21 10.58 15.67 0.82 9.26 13.07 8.59 17.28
000121 8.87 11.47 15.53 10.93 1.08 12.78 13.19 17.52
000122 15.96 11.14 13.66 16.91 10.21 10.32 3.56 15.82
000123 9.01 15.66 13.28 9.84 17.27 5.21 13.06 14.62
000124 11.88 0.09 6.08 11.72 12.07 11.87 16.75 13.98
000125 16.7 17.74 10.92 8.79 13.46 15.24 8.64 16.83
000126 9.79 17.61 13.68 10.46 13.32 0.28 12.22 10.64
000127 11.95 15.87 16.55 9.36 2.69 15.91 17.08 11.46
000128 14.89 10.47 16.51 4.12 16.25 1.94 14.6 15.36
000129 4.56 15.28 13.11 12.73 8.76 19.47 12.96 12.32
000130 11.7 11.21 1.38 10.02 12.6 1.25 15.81 8.1
000131 12.78 15.68 11.85 13.15 14.1 17.18 12.65 12.47
000132 13.34 10.22 9.63 5.17 11.11 5.92 13.54 9.89
000133 19.95 14.15 8.64 16.95 15.62 10.25 17.05 13.97
000134 18.46 18.96 17.46 9.32 11.04 8.76 11.26 13.74
