Num_CIN FG Rang
001885 737.13 1
001355 724.45 2
002689 719.41 3
001803 718.21 4
000967 717.71 5
004939 714.9 6
003667 711.66 7
002415 710.42 8
000549 709.87 9
001218 708.43 10
000436 706.4 11
001117 705.6 12
000041 704.93 13
000770 703.02 14
003446 702.69 15
003022 701.23 16
001898 698.93 17
003515 698.64 18
004045 696.78 19
003793 696.76 20
000659 696.54 21
004837 695.94 22
001256 693.53 23
000976 692.82 24
000204 692.72 25
002093 692.6 26
002680 692.53 27
004301 691.78 28
004289 691.09 29
003866 690.61 30
002332 689.95 31
003964 689.83 32
003230 689.52 33
004762 688.97 34
000281 688.55 35
003703 687.37 36
002729 687.28 37
000685 685.36 38
000906 684.56 39
000690 683.95 40
002243 680.69 41
004070 679.96 42
002644 679.44 43
002540 679.36 44
003361 679.19 45
004063 679.06 46
001862 678.86 47
001567 678.5 48
004610 678.33 49
001319 678.13 50
003716 677.83 51
000406 677.52 52
001393 677.45 53
002557 677.35 54
002335 677.2 55
002876 677.04 56
004716 676.74 57
002135 676.36 58
004916 675.81 59
001195 675.69 60
000937 675.48 61
000621 674.9 62
002489 674.88 63
000294 674.7 64
003746 674.04 65
002740 673.55 66
001043 673.33 67
001109 672.61 68
004984 672.52 69
001544 672.19 70
003758 672.08 71
001263 672.01 72
001517 671.04 73
003317 670.97 74
000936 670.81 75
004816 670.56 76
000944 670.33 77
001289 670.19 78
002025 669.53 79
002984 669.11 80
003845 668.39 81
004680 668.31 82
000373 668.05 83
001488 668.02 84
001008 667.59 85
002461 667.52 86
004298 667.45 87
000771 667.33 88
004965 667.18 89
002553 667.16 90
000693 667.01 91
004169 666.95 92
003383 666.61 93
002423 666.08 94
004569 665.49 95
003911 665.45 96
002063 665.09 97
002169 664.72 98
000375 664.68 99
001280 664.65 100
003217 664.49 101
001504 664.33 102
004658 664.23 103
001029 663.76 104
002891 663.52 105
004342 663.34 106
000338 663.33 107
004559 663.28 108
002681 663.24 109
004959 663.06 110
000539 663.03 111
001678 662.53 112
002480 662.07 113
003017 661.99 114
001216 661.47 115
000037 661.21 116
004748 661.08 117
002232 660.85 118
000809 660.29 119
002898 660.21 120
001089 659.91 121
000948 659.86 122
002458 659.67 123
001402 659.65 124
003467 659.33 125
003528 659.17 126
000233 659.12 127
000331 658.86 128
000180 658.85 129
001224 658.75 130
004983 658.69 131
000687 658.62 132
003337 658.2 133
001693 658.05 134
000537 657.95 135
000552 657.74 136
003779 657.33 137
003582 657.25 138
004639 656.67 139
