Num_CIN Filiere_Affectee
001885 E205
001355 E402
002689 E205
001803 E503
000967 E503
004939 E402
003667 E301
002415 E205
000549 E503
001218 E402
000436 E402
001117 E402
000041 E301
000770 E205
003446 E503
003022 E101
001898 E503
003515 E402
004045 E503
003793 E503
000659 E101
004837 E301
001256 E101
000976 E402
000204 E402
002093 E101
002680 E503
004301 E205
004289 E402
003866 E503
002332 E402
003964 E205
003230 E503
004762 E205
000281 E402
003703 E205
002729 E205
000685 E503
000906 E301
000690 E101
002243 E503
004070 E503
002644 E301
002540 E301
003361 E101
004063 E402
001862 E101
001567 E101
004610 E503
001319 E402
003716 E101
000406 E503
001393 E101
002557 E301
002335 E503
002876 E101
004716 E503
002135 E205
004916 E301
001195 E101
000937 E402
000621 E503
002489 E402
000294 E402
003746 E402
002740 E205
001043 E402
001109 E101
004984 E402
001544 E301
003758 E503
001263 E101
001517 E301
003317 E301
000936 E301
004816 E205
000944 E301
001289 E101
002025 E301
002984 E402
003845 E101
004680 E205
000373 E205
001488 E101
001008 E402
002461 E301
004298 E101
000771 E402
004965 E301
002553 E205
000693 E205
004169 E402
003383 E205
002423 E101
004569 E402
003911 E402
002063 E101
002169 E205
000375 E205
001280 E301
003217 E301
001504 E205
004658 E301
001029 E301
002891 E205
004342 E503
000338 E301
004559 E503
002681 E101
004959 E101
000539 E503
001678 E503
002480 E301
003017 E205
001216 E503
000037 E402
004748 E402
002232 E205
000809 E503
002898 E503
001089 E301
000948 E101
002458 E503
001402 E301
003467 E503
003528 E402
000233 E205
000331 E402
000180 E402
001224 E205
004983 E402
000687 E205
003337 E402
001693 E503
000537 E205
000552 E402
003779 E402
003582 E301
004639 E503
003749 E402
004478 E402
000984 E301
002660 E101
004674 E402
000088 E101
003989 E101
001714 E301
003460 E402
004652 E503
000222 E205
003169 E301
004763 E205
001146 E503
004590 E101
004942 E205
000077 E402
003289 E402
003803 E301
001166 E205
004255 E101
000325 E205
000001 E503
000779 E205
003894 E205
003781 E205
000131 E101
003771 E301
003154 E301
004321 E503
004268 E301
004384 E205
000515 E301
004031 E205
001843 E301
003357 E402
002589 E101
002472 E301
004573 E402
002950 E101
004397 E402
000884 E101
001941 E503
003636 E101
002850 E503
002993 E503
000579 E503
004829 E301
001689 E205
000067 E101
004317 E503
002889 E503
003478 E503
001368 E503
004972 E301
003730 E101
001656 E205
004766 E101
002938 E402
002477 E101
001387 E301
001076 E402
001603 E503
003629 E301
004102 E503
001011 E301
001294 E503
004759 E503
003197 E503
000215 E402
003641 E503
001736 E101
003552 E402
003097 E205
000465 E205
004805 E503
002337 E402
003688 E402
003296 E205
003174 E402
002635 E301
004702 E503
003973 E205
001047 E402
004365 E205
001197 E101
003461 E402
002163 E101
004962 E402
000807 E402
000776 E205
003549 E503
001681 E301
001709 E101
001447 E402
003672 E402
003139 E402
003604 E503
004955 E503
002587 E301
000076 E402
001230 E503
000267 E301
003442 E402
001462 E101
004095 E101
003108 E402
003788 E402
001422 E503
001179 E402
004800 E503
000572 E503
000928 E402
003533 E205
002166 E301
003995 E205
003816 E101
000488 E301
004935 E402
002099 E503
000896 E402
000852 E301
004980 E301
004266 E101
001634 E402
004581 E205
001084 E402
004546 E205
002958 E503
003567 E301
004398 E101
000060 E301
003249 E205
004749 E205
003473 E402
003736 E101
003463 E402
002110 E402
002981 E101
003981 E205
003698 E101
002508 E301
001110 E301
002969 E101
002605 E402
002453 E301
002072 E205
004662 E402
004780 E301
001174 E503
000571 E301
003530 E301
000149 E402
000291 E402
003868 E402
000013 E402
001353 E503
002352 E503
002512 E402
002393 E402
001615 E503
004207 E101
001958 E301
003689 E101
000143 E402
000329 E301
003090 E503
004631 E205
003627 E301
003822 E101
000083 E402
000383 E503
004601 E101
004572 E101
000350 E205
000578 E402
002482 E402
001072 E301
002033 E101
001415 E101
000703 E101
000950 E301
002238 E301
003954 E503
003417 E503
003801 E503
003341 E402
002824 E101
001050 E205
000314 E402
001775 E503
001119 E402
001467 E101
002249 E101
002710 E205
001169 E301
003710 E101
000441 E205
000933 E402
001509 E503
004536 E301
002483 E503
001351 E101
002979 E205
001833 E503
003258 E503
003490 E101
001554 E205
001773 E101
004505 E101
002364 E101
003084 E402
001806 E301
003403 E205
001491 E503
001933 E301
